stock_code,start_date,end_date,note
601058,2025-06-27,2025-12-10,赛轮轮胎
600391,2025-03-04,2025-07-30,航发科技
001267,2025-06-09,2026-05-14,汇绿生态
002475,2025-08-19,2026-06-04,立讯精密
688629,2025-06-05,2026-05-25,华丰科技
301191,2025-12-02,2026-05-25,菲菱科思
601138,2025-07-03,2025-10-29,工业富联
300450,2025-06-09,2025-09-24,先导智能
300274,2025-06-09,2025-10-29,阳光电源
002460,2025-06-24,2025-10-13,赣锋锂业
000792,2025-06-04,2026-03-12,盐湖股份
600141,2025-07-08,2026-01-28,兴发集团
688679,2025-07-08,2026-01-19,金盘科技
002885,2026-04-14,2026-05-22,京泉华
002922,2025-07-09,2026-03-09,伊戈尔
002028,2025-07-14,2026-03-06,思源电气
601179,2025-10-27,2026-03-09,中国西电
603119,2025-01-13,2025-09-18,浙江荣泰
300475,2025-08-21,2025-11-10,香浓芯创
603345,2025-10-29,2026-04-29,安井食品
000960,2025-06-27,2026-01-28,锡业股份
002463,2025-05-28,2026-06-04,沪电股份
002281,2026-03-10,2026-05-20,光迅科技
300870,2026-03-25,2026-06-16,欧陆通
688372,2025-08-12,2026-05-22,伟测科技
300476,2025-06-05,2025-09-11,胜宏科技
002428,2025-12-05,2026-05-13,云南锗业
000657,2025-10-20,2026-06-16,中钨高新
002378,2025-11-28,2026-03-02,章源钨业
600989,2025-08-20,2026-03-13,宝丰能源
002545,2025-06-04,2026-01-26,东方铁塔
600118,2025-12-01,2026-01-13,中国卫星
002008,2026-04-08,2026-05-13,大族激光
603256,2026-04-08,2026-06-16,宏和科技
603186,2026-04-03,2026-06-16,华正新材
002080,2026-04-08,2026-05-25,中材科技
600183,2026-04-03,2026-06-16,生益科技
002436,2026-04-08,2026-06-02,兴森科技
601126,2026-04-08,2026-05-19,四方股份
600176,2025-12-22,2026-05-28,中国巨石
605589,2026-04-03,2026-06-16,圣泉集团